Symbol,Date,Close
AAPL,3/2/2015,129.09
AAPL,3/3/2015,129.36
AAPL,3/4/2015,128.54
AAPL,3/5/2015,126.41
AAPL,3/6/2015,126.6
AAPL,3/9/2015,127.14
AAPL,3/10/2015,124.51
AAPL,3/11/2015,122.24
AAPL,3/12/2015,124.45
AAPL,3/13/2015,123.59
AAPL,3/16/2015,124.95
AAPL,3/17/2015,127.04
AAPL,3/18/2015,128.47
AAPL,3/19/2015,127.5
AAPL,3/20/2015,125.9
AAPL,3/23/2015,127.21
AAPL,3/24/2015,126.69
AAPL,3/25/2015,123.38
AAPL,3/26/2015,124.24
AAPL,3/27/2015,123.25
AAPL,3/30/2015,126.37
AAPL,3/31/2015,124.43
AAPL,4/1/2015,124.25
AAPL,4/2/2015,125.32
AAPL,4/6/2015,127.35
AAPL,4/7/2015,126.01
AAPL,4/8/2015,125.6
AAPL,4/9/2015,126.56
AAPL,4/10/2015,127.1
AAPL,4/13/2015,126.85
AAPL,4/14/2015,126.3
AAPL,4/15/2015,126.78
AAPL,4/16/2015,126.17
AAPL,4/17/2015,124.75
AAPL,4/20/2015,127.6
AAPL,4/21/2015,126.91
AAPL,4/22/2015,128.62
AAPL,4/23/2015,129.67
AAPL,4/24/2015,130.28
AAPL,4/27/2015,132.65
AAPL,4/28/2015,130.56
AAPL,4/29/2015,128.64
AAPL,4/30/2015,125.15
AAPL,5/1/2015,128.95
AAPL,5/4/2015,128.7
AAPL,5/5/2015,125.8
AAPL,5/6/2015,125.01
AAPL,5/7/2015,125.26
AAPL,5/8/2015,127.62
AAPL,5/11/2015,126.32
AAPL,5/12/2015,125.87
AAPL,5/13/2015,126.01
AAPL,5/14/2015,128.95
AAPL,5/15/2015,128.77
AAPL,5/18/2015,130.19
AAPL,5/19/2015,130.07
AAPL,5/20/2015,130.06
AAPL,5/21/2015,131.39
AAPL,5/22/2015,132.54
AAPL,5/26/2015,129.62
AAPL,5/27/2015,132.04
AAPL,5/28/2015,131.78
AAPL,5/29/2015,130.28
AAPL,6/1/2015,130.54
AAPL,6/2/2015,129.96
AAPL,6/3/2015,130.12
AAPL,6/4/2015,129.36
AAPL,6/5/2015,128.65
AAPL,6/8/2015,127.8
AAPL,6/9/2015,127.42
AAPL,6/10/2015,128.88
AAPL,6/11/2015,128.59
AAPL,6/12/2015,127.17
AAPL,6/15/2015,126.92
AAPL,6/16/2015,127.6
AAPL,6/17/2015,127.3
AAPL,6/18/2015,127.88
AAPL,6/19/2015,126.6
AAPL,6/22/2015,127.61
AAPL,6/23/2015,127.03
AAPL,6/24/2015,128.11
AAPL,6/25/2015,127.5
AAPL,6/26/2015,126.75
AAPL,6/29/2015,124.53
AAPL,6/30/2015,125.43
AAPL,7/1/2015,126.6
AAPL,7/2/2015,126.44
AAPL,7/6/2015,126
AAPL,7/7/2015,125.69
AAPL,7/8/2015,122.57
AAPL,7/9/2015,120.07
AAPL,7/10/2015,123.28
AAPL,7/13/2015,125.66
AAPL,7/14/2015,125.61
AAPL,7/15/2015,126.82
AAPL,7/16/2015,128.51
AAPL,7/17/2015,129.62
AAPL,7/20/2015,132.07
AAPL,7/21/2015,130.75
AAPL,7/22/2015,125.22
AAPL,7/23/2015,125.16
AAPL,7/24/2015,124.5
AAPL,7/27/2015,122.77
AAPL,7/28/2015,123.38
AAPL,7/29/2015,122.99
AAPL,7/30/2015,122.37
AAPL,7/31/2015,121.3
AAPL,8/3/2015,118.44
AAPL,8/4/2015,114.64
AAPL,8/5/2015,115.4
AAPL,8/6/2015,115.13
AAPL,8/7/2015,115.52
AAPL,8/10/2015,119.72
AAPL,8/11/2015,113.49
AAPL,8/12/2015,115.24
AAPL,8/13/2015,115.15
AAPL,8/14/2015,115.96
AAPL,8/17/2015,117.16
AAPL,8/18/2015,116.5
AAPL,8/19/2015,115.01
AAPL,8/20/2015,112.65
AAPL,8/21/2015,105.76
AAPL,8/24/2015,103.12
AAPL,8/25/2015,103.74
AAPL,8/26/2015,109.69
AAPL,8/27/2015,112.92
AAPL,8/28/2015,113.29
AAPL,8/31/2015,112.76
AAPL,9/1/2015,107.72
AAPL,9/2/2015,112.34
AAPL,9/3/2015,110.37
AAPL,9/4/2015,109.27
AAPL,9/8/2015,112.31
AAPL,9/9/2015,110.15
AAPL,9/10/2015,112.57
AAPL,9/11/2015,114.21
AAPL,9/14/2015,115.31
AAPL,9/15/2015,116.28
AAPL,9/16/2015,116.41
AAPL,9/17/2015,113.92
AAPL,9/18/2015,113.45
AAPL,9/21/2015,115.21
AAPL,9/22/2015,113.4
AAPL,9/23/2015,114.32
AAPL,9/24/2015,115
AAPL,9/25/2015,114.71
AAPL,9/28/2015,112.44
AAPL,9/29/2015,109.06
AAPL,9/30/2015,110.3
AAPL,10/1/2015,109.58
AAPL,10/2/2015,110.38
AAPL,10/5/2015,110.78
AAPL,10/6/2015,111.31
AAPL,10/7/2015,110.78
AAPL,10/8/2015,109.5
AAPL,10/9/2015,112.12
AAPL,10/12/2015,111.6
AAPL,10/13/2015,111.79
AAPL,10/14/2015,110.21
AAPL,10/15/2015,111.86
AAPL,10/16/2015,111.04
AAPL,10/19/2015,111.73
AAPL,10/20/2015,113.77
AAPL,10/21/2015,113.76
AAPL,10/22/2015,115.5
AAPL,10/23/2015,119.08
AAPL,10/26/2015,115.28
AAPL,10/27/2015,114.55
AAPL,10/28/2015,119.27
AAPL,10/29/2015,120.53
AAPL,10/30/2015,119.5
AAPL,11/2/2015,121.18
AAPL,11/3/2015,122.57
AAPL,11/4/2015,122
AAPL,11/5/2015,120.92
AAPL,11/6/2015,121.06
AAPL,11/9/2015,120.57
AAPL,11/10/2015,116.77
AAPL,11/11/2015,116.11
AAPL,11/12/2015,115.72
AAPL,11/13/2015,112.34
AAPL,11/16/2015,114.18
AAPL,11/17/2015,113.69
AAPL,11/18/2015,117.29
AAPL,11/19/2015,118.78
AAPL,11/20/2015,119.3
AAPL,11/23/2015,117.75
AAPL,11/24/2015,118.88
AAPL,11/25/2015,118.03
AAPL,11/27/2015,117.81
AAPL,11/30/2015,118.3
AAPL,12/1/2015,117.34
AAPL,12/2/2015,116.28
AAPL,12/3/2015,115.2
AAPL,12/4/2015,119.03
AAPL,12/7/2015,118.28
AAPL,12/8/2015,118.23
AAPL,12/9/2015,115.62
AAPL,12/10/2015,116.17
AAPL,12/11/2015,113.18
AAPL,12/14/2015,112.48
AAPL,12/15/2015,110.49
AAPL,12/16/2015,111.34
AAPL,12/17/2015,108.98
AAPL,12/18/2015,106.03
AAPL,12/21/2015,107.33
AAPL,12/22/2015,107.23
AAPL,12/23/2015,108.61
AAPL,12/24/2015,108.03
AAPL,12/28/2015,106.82
AAPL,12/29/2015,108.74
AAPL,12/30/2015,107.32
AAPL,12/31/2015,105.26
AAPL,1/4/2016,105.35
AAPL,1/5/2016,102.71
AAPL,1/6/2016,100.7
AAPL,1/7/2016,96.45
AAPL,1/8/2016,96.96
AAPL,1/11/2016,98.53
AAPL,1/12/2016,99.96
AAPL,1/13/2016,97.39
AAPL,1/14/2016,99.52
AAPL,1/15/2016,97.13
AAPL,1/19/2016,96.66
AAPL,1/20/2016,96.79
AAPL,1/21/2016,96.3
AAPL,1/22/2016,101.42
AAPL,1/25/2016,99.44
AAPL,1/26/2016,99.99
AAPL,1/27/2016,93.42
AAPL,1/28/2016,94.09
AAPL,1/29/2016,97.34
AAPL,2/1/2016,96.43
AAPL,2/2/2016,94.48
AAPL,2/3/2016,96.35
AAPL,2/4/2016,96.6
AAPL,2/5/2016,94.02
AAPL,2/8/2016,95.01
AAPL,2/9/2016,94.99
AAPL,2/10/2016,94.27
AAPL,2/11/2016,93.7
AAPL,2/12/2016,93.99
AAPL,2/16/2016,96.64
AAPL,2/17/2016,98.12
AAPL,2/18/2016,96.26
AAPL,2/19/2016,96.04
AAPL,2/22/2016,96.88
AAPL,2/23/2016,94.69
AAPL,2/24/2016,96.1
AAPL,2/25/2016,96.76
AAPL,2/26/2016,96.91
AAPL,2/29/2016,96.69
AAPL,3/1/2016,100.53
AAPL,3/2/2016,100.75
AAPL,3/3/2016,101.5
AAPL,3/4/2016,103.01
AAPL,3/7/2016,101.87
AAPL,3/8/2016,101.03
AAPL,3/9/2016,101.12
AAPL,3/10/2016,101.17
AAPL,3/11/2016,102.26
AAPL,3/14/2016,102.52
AAPL,3/15/2016,104.58
AAPL,3/16/2016,105.97
AAPL,3/17/2016,105.8
AAPL,3/18/2016,105.92
AAPL,3/21/2016,105.91
AAPL,3/22/2016,106.72
AAPL,3/23/2016,106.13
AAPL,3/24/2016,105.67
AAPL,3/28/2016,105.19
AAPL,3/29/2016,107.68
AAPL,3/30/2016,109.56
AAPL,3/31/2016,108.99
AAPL,4/1/2016,109.99
AAPL,4/4/2016,111.12
AAPL,4/5/2016,109.81
AAPL,4/6/2016,110.96
AAPL,4/7/2016,108.54
AAPL,4/8/2016,108.66
AAPL,4/11/2016,109.02
AAPL,4/12/2016,110.44
AAPL,4/13/2016,112.04
AAPL,4/14/2016,112.1
AAPL,4/15/2016,109.85
AAPL,4/18/2016,107.48
AAPL,4/19/2016,106.91
AAPL,4/20/2016,107.13
AAPL,4/21/2016,105.97
AAPL,4/22/2016,105.68
AAPL,4/25/2016,105.08
AAPL,4/26/2016,104.35
AAPL,4/27/2016,97.82
AAPL,4/28/2016,94.83
AAPL,4/29/2016,93.74
AAPL,5/2/2016,93.64
AAPL,5/3/2016,95.18
AAPL,5/4/2016,94.19
AAPL,5/5/2016,93.24
AAPL,5/6/2016,92.72
AAPL,5/9/2016,92.79
AAPL,5/10/2016,93.42
AAPL,5/11/2016,92.51
AAPL,5/12/2016,90.34
AAPL,5/13/2016,90.52
AAPL,5/16/2016,93.88
AAPL,5/17/2016,93.49
AAPL,5/18/2016,94.56
AAPL,5/19/2016,94.2
AAPL,5/20/2016,95.22
AAPL,5/23/2016,96.43
AAPL,5/24/2016,97.9
AAPL,5/25/2016,99.62
AAPL,5/26/2016,100.41
AAPL,5/27/2016,100.35
AAPL,5/31/2016,99.86
AAPL,6/1/2016,98.46
AAPL,6/2/2016,97.72
AAPL,6/3/2016,97.92
AAPL,6/6/2016,98.63
AAPL,6/7/2016,99.03
AAPL,6/8/2016,98.94
AAPL,6/9/2016,99.65
AAPL,6/10/2016,98.83
AAPL,6/13/2016,97.34
AAPL,6/14/2016,97.46
AAPL,6/15/2016,97.14
AAPL,6/16/2016,97.55
AAPL,6/17/2016,95.33
AAPL,6/20/2016,95.1
AAPL,6/21/2016,95.91
AAPL,6/22/2016,95.55
AAPL,6/23/2016,96.1
AAPL,6/24/2016,93.4
AAPL,6/27/2016,92.04
AAPL,6/28/2016,93.59
AAPL,6/29/2016,94.4
AAPL,6/30/2016,95.6
AAPL,7/1/2016,95.89
AAPL,7/5/2016,94.99
AAPL,7/6/2016,95.53
AAPL,7/7/2016,95.94
AAPL,7/8/2016,96.68
AAPL,7/11/2016,96.98
AAPL,7/12/2016,97.42
AAPL,7/13/2016,96.87
AAPL,7/14/2016,98.79
AAPL,7/15/2016,98.78
AAPL,7/18/2016,99.83
AAPL,7/19/2016,99.87
AAPL,7/20/2016,99.96
AAPL,7/21/2016,99.43
AAPL,7/22/2016,98.66
AAPL,7/25/2016,97.34
AAPL,7/26/2016,96.67
AAPL,7/27/2016,102.95
AAPL,7/28/2016,104.34
AAPL,7/29/2016,104.21
AAPL,8/1/2016,106.05
AAPL,8/2/2016,104.48
AAPL,8/3/2016,105.79
AAPL,8/4/2016,105.87
AAPL,8/5/2016,107.48
AAPL,8/8/2016,108.37
AAPL,8/9/2016,108.81
AAPL,8/10/2016,108
AAPL,8/11/2016,107.93
AAPL,8/12/2016,108.18
AAPL,8/15/2016,109.48
AAPL,8/16/2016,109.38
AAPL,8/17/2016,109.22
AAPL,8/18/2016,109.08
AAPL,8/19/2016,109.36
AAPL,8/22/2016,108.51
AAPL,8/23/2016,108.85
AAPL,8/24/2016,108.03
AAPL,8/25/2016,107.57
AAPL,8/26/2016,106.94
AAPL,8/29/2016,106.82
AAPL,8/30/2016,106
AAPL,8/31/2016,106.1
AAPL,9/1/2016,106.73
AAPL,9/2/2016,107.73
AAPL,9/6/2016,107.7
AAPL,9/7/2016,108.36
AAPL,9/8/2016,105.52
AAPL,9/9/2016,103.13
AAPL,9/12/2016,105.44
AAPL,9/13/2016,107.95
AAPL,9/14/2016,111.77
AAPL,9/15/2016,115.57
AAPL,9/16/2016,114.92
AAPL,9/19/2016,113.58
AAPL,9/20/2016,113.57
AAPL,9/21/2016,113.55
AAPL,9/22/2016,114.62
AAPL,9/23/2016,112.71
AAPL,9/26/2016,112.88
AAPL,9/27/2016,113.09
AAPL,9/28/2016,113.95
AAPL,9/29/2016,112.18
AAPL,9/30/2016,113.05
AAPL,10/3/2016,112.52
AAPL,10/4/2016,113
AAPL,10/5/2016,113.05
AAPL,10/6/2016,113.89
AAPL,10/7/2016,114.06
AAPL,10/10/2016,116.05
AAPL,10/11/2016,116.3
AAPL,10/12/2016,117.34
AAPL,10/13/2016,116.98
AAPL,10/14/2016,117.63
AAPL,10/17/2016,117.55
AAPL,10/18/2016,117.47
AAPL,10/19/2016,117.12
AAPL,10/20/2016,117.06
AAPL,10/21/2016,116.6
AAPL,10/24/2016,117.65
AAPL,10/25/2016,118.25
AAPL,10/26/2016,115.59
AAPL,10/27/2016,114.48
AAPL,10/28/2016,113.72
AAPL,10/31/2016,113.54
AAPL,11/1/2016,111.49
AAPL,11/2/2016,111.59
AAPL,11/3/2016,109.83
AAPL,11/4/2016,108.84
AAPL,11/7/2016,110.41
AAPL,11/8/2016,111.06
AAPL,11/9/2016,110.88
AAPL,11/10/2016,107.79
AAPL,11/11/2016,108.43
AAPL,11/14/2016,105.71
AAPL,11/15/2016,107.11
AAPL,11/16/2016,109.99
AAPL,11/17/2016,109.95
AAPL,11/18/2016,110.06
AAPL,11/21/2016,111.73
AAPL,11/22/2016,111.8
AAPL,11/23/2016,111.23
AAPL,11/25/2016,111.79
AAPL,11/28/2016,111.57
AAPL,11/29/2016,111.46
AAPL,11/30/2016,110.52
AAPL,12/1/2016,109.49
AAPL,12/2/2016,109.9
AAPL,12/5/2016,109.11
AAPL,12/6/2016,109.95
AAPL,12/7/2016,111.03
AAPL,12/8/2016,112.12
AAPL,12/9/2016,113.95
AAPL,12/12/2016,113.3
AAPL,12/13/2016,115.19
AAPL,12/14/2016,115.19
AAPL,12/15/2016,115.82
AAPL,12/16/2016,115.97
AAPL,12/19/2016,116.64
AAPL,12/20/2016,116.95
AAPL,12/21/2016,117.06
AAPL,12/22/2016,116.29
AAPL,12/23/2016,116.52
AAPL,12/27/2016,117.26
AAPL,12/28/2016,116.76
AAPL,12/29/2016,116.73
AAPL,12/30/2016,115.82
AAPL,1/3/2017,116.15
AAPL,1/4/2017,116.02
AAPL,1/5/2017,116.61
AAPL,1/6/2017,117.91
AAPL,1/9/2017,118.99
AAPL,1/10/2017,119.11
AAPL,1/11/2017,119.75
AAPL,1/12/2017,119.25
AAPL,1/13/2017,119.04
AAPL,1/17/2017,120
AAPL,1/18/2017,119.99
AAPL,1/19/2017,119.78
AAPL,1/20/2017,120
AAPL,1/23/2017,120.08
AAPL,1/24/2017,119.97
AAPL,1/25/2017,121.88
AAPL,1/26/2017,121.94
AAPL,1/27/2017,121.95
AAPL,1/30/2017,121.63
AAPL,1/31/2017,121.35
AAPL,2/1/2017,128.75
AAPL,2/2/2017,128.53
AAPL,2/3/2017,129.08
AAPL,2/6/2017,130.29
AAPL,2/7/2017,131.53
AAPL,2/8/2017,132.04
AAPL,2/9/2017,132.42
AAPL,2/10/2017,132.12
AAPL,2/13/2017,133.29
AAPL,2/14/2017,135.02
AAPL,2/15/2017,135.51
AAPL,2/16/2017,135.35
AAPL,2/17/2017,135.72
AAPL,2/21/2017,136.7
AAPL,2/22/2017,137.11
AAPL,2/23/2017,136.53
AAPL,2/24/2017,136.66
AAPL,2/27/2017,136.93
AAPL,2/28/2017,136.99
AAPL,3/1/2017,139.79
AAPL,3/2/2017,138.96
AAPL,3/3/2017,139.78
AAPL,3/6/2017,139.34
AAPL,3/7/2017,139.52
AAPL,3/8/2017,139
AAPL,3/9/2017,138.68
AAPL,3/10/2017,139.14
AAPL,3/13/2017,139.2
AAPL,3/14/2017,138.99
AAPL,3/15/2017,140.46
AAPL,3/16/2017,140.69
AAPL,3/17/2017,139.99
AAPL,3/20/2017,141.46
AAPL,3/21/2017,139.84
AAPL,3/22/2017,141.42
AAPL,3/23/2017,140.92
AAPL,3/24/2017,140.64
AAPL,3/27/2017,140.88
AAPL,3/28/2017,143.8
AAPL,3/29/2017,144.12
